Timestamp,How old are you?,What is your gender?,What is your University role?,What is your field of study?,"How busy are you outside of University? (jobs, other commitments, etc.)","How much time do you spend working on your University role(s)? (studying, classes, etc.)",How experienced are you with ChatGPT?,In what circumstances have you used ChatGPT? (multi-select),"On a scale of 1-5, how strongly do you believe that using ChatGPT for academics is a form of plagiarism?","If you have used ChatGPT, how satisfied were you with the depth of and accuracy of the information?",How helpful do you think ChatGPT is for the learning environment?
2/28/2023 21:37:41,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,5,4,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",2,3,4
2/28/2023 22:07:56,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,4,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",4,3,4
2/28/2023 22:08:29,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,3,5,"To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",3,4,4
2/28/2023 22:14:58,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,3,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",4,3,5
2/28/2023 22:55:05,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,4,"To do my homework (laziness/no interest), To test various things (like code) and get feedback",4,5,4
3/1/2023 1:46:54,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,3,1,Haven't used it,3,3,3
3/1/2023 1:57:55,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,4,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",2,4,5
3/1/2023 2:35:25,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,2,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",4,4,5
3/1/2023 7:45:08,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",5,5,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, Entertainment purposes",5,5,5
3/1/2023 9:06:19,24-28,Male,Graduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,3,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",3,4,4
3/1/2023 16:32:20,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,4,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, Entertainment purposes",2,4,5
3/2/2023 8:32:18,17-23,Male,Undergraduate,Languages,2,5,5,"To do my homework (laziness/no interest), To explain concepts and learn from it, Entertainment purposes, Other",2,4,5
3/2/2023 8:36:32,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,1,To explain concepts and learn from it,4,3,3
3/2/2023 10:33:35,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,3,"To explain concepts and learn from it, To test various things (like code) and get feedback",2,4,4
3/3/2023 21:51:42,17-23,Female,Undergraduate,Business,3,5,3,To do my homework faster (time pressure),1,4,4
3/3/2023 21:58:16,17-23,Female,Undergraduate,Other,1,4,2,"To explain concepts and learn from it, Entertainment purposes",3,5,1
3/3/2023 22:09:34,17-23,Female,Undergraduate,Social Sciences,3,5,2,"To do my homework faster (time pressure), To explain concepts and learn from it",2,3,3
3/3/2023 22:17:47,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,1,Haven't used it,2,,4
3/3/2023 22:34:11,17-23,Female,Undergraduate,Arts and Music,5,3,3,"To do my homework faster (time pressure), To do my homework (laziness/no interest)",2,4,5
3/3/2023 22:36:10,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,5,1,Haven't used it,4,3,4
3/3/2023 22:36:40,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,3,"To do my homework faster (time pressure), To test various things (like code) and get feedback, Entertainment purposes",4,4,4
3/3/2023 22:39:08,17-23,Female,Undergraduate,Arts and Music,4,3,1,Haven't used it,3,3,3
3/3/2023 22:51:56,17-23,Female,Undergraduate,Other,4,3,4,To do my homework faster (time pressure),2,4,4
3/3/2023 23:17:46,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,1,4,To explain concepts and learn from it,4,4,4
3/3/2023 23:17:46,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,2,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",4,4,5
3/4/2023 1:03:38,17-23,Male,Undergraduate,Business,2,2,2,"To do my homework faster (time pressure), To explain concepts and learn from it",2,4,4
3/4/2023 2:51:49,24-28,Male,Undergraduate,Business,4,2,1,"To explain concepts and learn from it, To test various things (like code) and get feedback",5,4,5
3/4/2023 8:01:24,17-23,Female,Undergraduate,Social Sciences,3,4,1,Haven't used it,4,2,2
3/4/2023 11:40:06,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,4,"To do my homework faster (time pressure), To do my homework (laziness/no interest)",3,3,3
3/4/2023 13:45:11,17-23,Male,Undergraduate,Business,3,3,4,"To do my homework faster (time pressure), To explain concepts and learn from it",2,4,5
3/4/2023 16:10:56,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,4,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback",1,3,4
3/4/2023 18:23:11,17-23,Female,Undergraduate,Arts and Music,3,5,5,To test various things (like code) and get feedback,3,3,4
3/4/2023 22:15:55,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,3,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",2,2,4
3/6/2023 21:54:15,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,2,2,To explain concepts and learn from it,4,3,3
3/7/2023 17:31:49,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,2,"To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",2,3,5
3/8/2023 20:55:42,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,5,4,"To explain concepts and learn from it, Entertainment purposes",3,4,5
3/9/2023 0:29:53,17-23,Prefer not to say,Undergraduate,Arts and Music,2,4,1,Haven't used it,4,,1
3/9/2023 15:20:51,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,1,Haven't used it,4,,1
3/9/2023 19:27:53,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,4,1,Haven't used it,3,,4
3/10/2023 9:24:10,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,1,Haven't used it,4,3,4
3/11/2023 18:23:37,24-28,Female,Undergraduate,Arts and Music,4,4,3,"To do my homework faster (time pressure), Other",2,3,4
3/19/2023 0:47:54,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,5,5,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",1,5,5
3/20/2023 12:27:22,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,3,3,"Entertainment purposes, Other",3,4,3
3/30/2023 15:05:15,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",5,5,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback",3,5,5
3/30/2023 15:06:27,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",3,,3
3/30/2023 15:07:37,24-28,Female,Undergraduate,Law,3,1,2,"To do my homework (laziness/no interest), To test various things (like code) and get feedback",3,3,3
3/30/2023 15:08:39,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,3,"To do my homework faster (time pressure), To explain concepts and learn from it, Entertainment purposes",3,3,3
3/30/2023 16:43:56,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",3,5,5
